technique,question_id,rank,cosine_sim,chunk_hash,source_file,contains_answer,note,preview
semantic,q1,1,0.653484,394b2b06fc42d854,fda_fresh-ready-foods-llc-recalls-spicy.txt,no,,ET. This recall is being conducted in cooperation with the FDA.
semantic,q1,2,0.614336,b03b0a080ec9ded7,ecfr_21cfr_part7.txt,,,Any conclusion shall be supported as completely as possible by scientific documentation and/or statements that the conclusion is the opinion of the individual(s
semantic,q1,3,0.607615,d2f447629f715260,fda_evergreen-fresh-sprouts-llc-recalls-broccoli.txt,,,This recall is being made with the knowledge of the U.S. Food and Drug Administration.
semantic,q1,4,0.55062,a71069cc40667393,ecfr_21cfr_part7.txt,,,(h) No representation or suggestion that an article is guaranteed under the act shall be made in labeling. Subpart B [Reserved] Subpart C—Recalls (Including Pro
semantic,q1,5,0.520722,69389dcba906fc99,ecfr_21cfr_part7.txt,,,(v) Continued availability of essential products. (2) The Food and Drug Administration will review the adequacy of a proposed recall strategy developed by a rec
sentence_window,q1,1,0.797878,34f66651f50dd9b7,ecfr_21cfr_part7.txt,no,,"(b) On the basis of this determination, the Food and Drug Administration will assign the recall a classification, i.e., Class I, Class II, or Class III, to indi"
sentence_window,q1,2,0.782998,fbc53e6d29c7d369,ecfr_21cfr_part7.txt,no,,"(m) Recall classification means the numerical designation, i.e., I, II, or III, assigned by the Food and Drug Administration to a particular product recall to i"
sentence_window,q1,3,0.689427,42545b7227433b87,fda_champion-foods-recalls-some-batches-motor.txt,,,This recall is being conducted in coordination with FDA.
sentence_window,q1,4,0.689427,42545b7227433b87,fda_sugar-foods-issues-recall-specific-lots.txt,,,This recall is being conducted in coordination with FDA.
sentence_window,q1,5,0.667927,3c4b6c966b493e5b,fda_if-copack-llc-dba-initiative-foods.txt,,,This recall is being conducted based on FDA’s recommendation.
token,q1,1,0.69064,56c424af3621908c,ecfr_21cfr_part7.txt,,,"(immediate or long-range) of occurrence of the hazard. (b) On the basis of this determination, the Food and Drug Administration will assign the recall a classif"
token,q1,2,0.615375,d9d047735a09d147,ecfr_21cfr_part7.txt,yes,,"I, II, or III, assigned by the Food and Drug Administration to a particular product recall to indicate the relative degree of health hazard presented by the pro"
token,q1,3,0.614198,4fbb27e4c7d7c1e1,ecfr_21cfr_part7.txt,,,firm's removal or correction of a distributed product which involves a minor violation that would not be subject to legal action by the Food and Drug Administra
token,q1,4,0.603456,67c4d9f957bb569c,ecfr_21cfr_part7.txt,,,"of the product being recalled and the strategy developed for that recall. In general terms, the purpose of a recall communication is to convey: (1) That the pro"
token,q1,5,0.582634,c8cd4583bc90da0a,ecfr_21cfr_part7.txt,,,recall. (a) The Commissioner of Food and Drugs or designee may request a firm to initiate a recall when the following determinations have been made: (1) That a 
semantic,q2,1,0.651472,ee754c3ae7e23262,ecfr_21cfr_part7.txt,,,"(5) Total amount of such products estimated to be in distribution channels. (6) Distribution information, including the number of direct accounts and, where nec"
semantic,q2,2,0.630486,0ad8d49c5e82ce3d,fda_midwest-poultry-services-lp-recalls-shell.txt,,,Consumers who purchased products associated with this recall are urged to avoid consumption and return the product to its original place of purchase for a full 
semantic,q2,3,0.624863,394b2b06fc42d854,fda_fresh-ready-foods-llc-recalls-spicy.txt,,,ET. This recall is being conducted in cooperation with the FDA.
semantic,q2,4,0.610683,8b94e5dfe2d0095b,fda_exotique-foods-inc-recalls-momchipz-veggie.txt,,,Consumers who have purchased this product and have an allergy or severe sensitivity to wheat are urged to not consume the product and should discard or return p
semantic,q2,5,0.59537,69389dcba906fc99,ecfr_21cfr_part7.txt,,,(v) Continued availability of essential products. (2) The Food and Drug Administration will review the adequacy of a proposed recall strategy developed by a rec
sentence_window,q2,1,0.779519,00191e10cb11aaf5,ecfr_21cfr_part7.txt,,,(a) The recalling firm is requested to submit periodic recall status reports to the appropriate Food and Drug Administration district office so that the agency 
sentence_window,q2,2,0.765209,7b931ec4182b525d,ecfr_21cfr_part7.txt,,,The frequency of such reports will be determined by the relative urgency of the recall and will be specified by the Food and Drug Administration in each recall 
sentence_window,q2,3,0.691788,76ccd9948ab954d7,ecfr_21cfr_part7.txt,,,The Food and Drug Administration will promptly make available to the public in the weekly FDA Enforcement Report a descriptive listing of each new recall accord
sentence_window,q2,4,0.690405,42545b7227433b87,fda_sugar-foods-issues-recall-specific-lots.txt,,,This recall is being conducted in coordination with FDA.
sentence_window,q2,5,0.690405,42545b7227433b87,fda_champion-foods-recalls-some-batches-motor.txt,,,This recall is being conducted in coordination with FDA.
token,q2,1,0.768562,113e1e0ff0a67f08,ecfr_21cfr_part7.txt,,,reports. (a) The recalling firm is requested to submit periodic recall status reports to the appropriate Food and Drug Administration district office so that th
token,q2,2,0.707388,1ac4689f014df856,fda_fresh-ready-foods-llc-recalls-spicy.txt,,,"or by calling 1-855-424-8390, Monday through Friday, 8:00 a.m. to 6:00 p.m. ET. This recall is being conducted in cooperation with the FDA."
token,q2,3,0.697583,8cf80f77cada4ea1,ecfr_21cfr_part7.txt,,,"whether it was Food and Drug Administration-requested or firm-initiated, and the specific action being taken by the recalling firm. The Food and Drug Administra"
token,q2,4,0.671049,3d170d3fc9a437d2,ecfr_21cfr_part7.txt,,,"by sending a postage-paid, self-addressed postcard or by allowing the recipient to place a collect call to the recalling firm. (2) The recall communication shou"
token,q2,5,0.66434,5b0216d0a8905ac3,ecfr_21cfr_part7.txt,,,"A copy of the firm's recall communication if any has issued, or a proposed communication if none has issued. (8) Proposed strategy for conducting the recall. (9"
semantic,q3,1,0.653968,ceefcedc7f6c0321,fda_a2-platinum-usa-label-infant-formula.txt,,,"a2 Platinum USA Label Infant Formula Recalled Because of Possible Health Risk Company Announcement Date: May 02, 2026 FDA Publish Date: May 02, 2026 Product Typ"
semantic,q3,2,0.503411,394b2b06fc42d854,fda_fresh-ready-foods-llc-recalls-spicy.txt,,,ET. This recall is being conducted in cooperation with the FDA.
semantic,q3,3,0.502266,205f507f258ac113,fda_ikm-recalls-product-because-possible-health.txt,,,The real product might look a little different. No illnesses have been reported to date. The recall was the result of a routine sampling program by the FDA whic
semantic,q3,4,0.486528,a8bd8e574aba7ea4,fda_ghirardelli-chocolate-company-recalls-powdered-beverage.txt,,,No illnesses have been reported to date. The recall is limited to the following powdered beverage mixes only: Product Name | Lot Number | Best if Used by 30lb C
semantic,q3,5,0.483654,b47f09c8b5c913c1,fda_sks-copack-recalls-various-specialty-beverages.txt,,,"for a certain lot of low heat nonfat dry milk powder due to possible Salmonella contamination. According to California Dairies, the recall followed the identifi"
sentence_window,q3,1,0.655887,fa14e426e5a48d0d,fda_a2-platinum-usa-label-infant-formula.txt,,,"a2 Platinum USA Label Infant Formula Recalled Because of Possible Health Risk Company Announcement Date: May 02, 2026 FDA Publish Date: May 02, 2026 Product Typ"
