experiment,run_index,case_id,started_at,outcome,status,turn_count,turn_ceiling,planner_attempts,reviewer_attempts,llm_calls,latency_ms,input_tokens,output_tokens,model,temperature,tags,summary,summary_word_count,first_validation_error
schema30,1,schema_input,2026-09-11T12:06:37-07:00,valid first attempt,complete,2,10,1,1,2,53766.8,637,64,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination affecting specific lots and regions.,17,
schema30,2,schema_input,2026-09-11T12:07:30-07:00,valid first attempt,complete,2,10,1,1,2,19562.9,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,3,schema_input,2026-09-11T12:07:50-07:00,valid first attempt,complete,2,10,1,1,2,27010.9,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,4,schema_input,2026-09-11T12:08:17-07:00,valid first attempt,complete,2,10,1,1,2,20935.8,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,5,schema_input,2026-09-11T12:08:38-07:00,valid first attempt,complete,2,10,1,1,2,21860.1,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,6,schema_input,2026-09-11T12:09:00-07:00,valid first attempt,complete,2,10,1,1,2,24745.7,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,7,schema_input,2026-09-11T12:09:25-07:00,valid first attempt,complete,2,10,1,1,2,15245.0,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,8,schema_input,2026-09-11T12:09:41-07:00,valid first attempt,complete,2,10,1,1,2,13653.2,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,9,schema_input,2026-09-11T12:09:54-07:00,valid first attempt,complete,2,10,1,1,2,11687.1,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,10,schema_input,2026-09-11T12:10:06-07:00,valid first attempt,complete,2,10,1,1,2,19011.5,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,11,schema_input,2026-09-11T12:10:25-07:00,valid first attempt,complete,2,10,1,1,2,15203.3,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,12,schema_input,2026-09-11T12:10:40-07:00,valid first attempt,complete,2,10,1,1,2,22450.4,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,13,schema_input,2026-09-11T12:11:03-07:00,valid first attempt,complete,2,10,1,1,2,15067.9,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,14,schema_input,2026-09-11T12:11:18-07:00,valid first attempt,complete,2,10,1,1,2,16717.3,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,15,schema_input,2026-09-11T12:11:35-07:00,valid first attempt,complete,2,10,1,1,2,12962.9,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,16,schema_input,2026-09-11T12:11:48-07:00,valid first attempt,complete,2,10,1,1,2,37954.6,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,17,schema_input,2026-09-11T12:12:26-07:00,valid first attempt,complete,2,10,1,1,2,17797.2,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,18,schema_input,2026-09-11T12:12:44-07:00,valid first attempt,complete,2,10,1,1,2,10053.2,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,19,schema_input,2026-09-11T12:12:54-07:00,valid first attempt,complete,2,10,1,1,2,9027.3,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
schema30,20,schema_input,2026-09-11T12:13:03-07:00,valid first attempt,complete,2,10,1,1,2,15581.5,638,65,qwen3:8b,0.0,peanut butter | milk allergy | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination posing risk to milk allergic consumers.,18,
