run_index,temperature,timestamp,model,tag_1,tag_2,tag_3,tag_set,summary,summary_word_count,reviewer_changed,latency_ms,total_tokens
1,0.7,2026-08-30T21:52:07-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination posing a risk to milk-allergic consumers.,18,True,18586.1,774
2,0.7,2026-08-30T21:52:19-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination posing allergy risks.,15,True,11978.2,759
3,0.7,2026-08-30T21:52:32-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination posing allergy risks.,15,True,12093.2,770
4,0.7,2026-08-30T21:52:44-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination posing allergy risks.,15,True,12846.6,759
5,0.7,2026-08-30T21:52:58-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination posing allergy risks.,15,True,13839.7,759
6,0.7,2026-08-30T21:53:10-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,sunrise valley foods recalls creamy peanut butter due to potential milk contamination risk.,13,True,11191.6,753
7,0.7,2026-08-30T21:53:25-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,"Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination, affecting specific lot codes and best-by dates.",19,False,15876.4,783
8,0.7,2026-08-30T21:53:39-07:00,qwen3:8b,peanut butter,milk allergy,product recall,milk allergy | peanut butter | product recall,Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination posing a risk to milk-allergic consumers.,18,False,13625.5,780
9,0.7,2026-08-30T21:53:54-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination posing a risk to milk-allergic consumers.,18,True,14780.0,783
10,0.7,2026-08-30T21:54:06-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination posing allergy risks.,15,True,12121.5,759
11,0.7,2026-08-30T21:54:18-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination posing allergy risks.,15,True,11977.2,769
12,0.7,2026-08-30T21:54:29-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination in specific lots.,15,True,11398.2,765
13,0.7,2026-08-30T21:54:43-07:00,qwen3:8b,peanut butter,milk contamination,product recall,milk contamination | peanut butter | product recall,Sunrise Valley Foods recalls peanut butter jars due to potential milk contamination posing allergy risks.,15,True,13248.2,768
